zcta,overlapping,only_kaiser,only_uw
90004,0,0,1
90028,0,0,1
90036,0,0,1
90038,0,0,1
90046,0,0,1
90048,0,0,1
90049,0,0,1
90068,0,0,1
90069,0,0,1
90073,0,0,1
90077,0,0,1
90210,0,0,1
90263,1,0,0
90265,0,0,1
90272,1,0,0
90290,1,0,0
90401,0,0,1
90402,0,0,1
90403,0,0,1
90404,0,0,1
90405,0,0,1
91001,1,0,0
91003,0,1,0
91006,0,0,1
91007,0,0,1
91011,1,0,0
91016,0,0,1
91024,1,0,0
91101,0,0,1
91103,1,0,0
91104,1,0,0
91105,0,0,1
91106,0,0,1
91107,1,0,0
91108,0,0,1
91206,0,0,1
91301,0,0,1
91302,0,0,1
91304,0,0,1
91307,0,0,1
91311,0,0,1
91316,0,0,1
91321,0,0,1
91326,0,0,1
91342,0,0,1
91344,0,0,1
91356,0,0,1
91364,0,0,1
91367,0,0,1
91381,0,0,1
91390,0,0,1
91401,0,0,1
91403,0,0,1
91423,0,0,1
91436,0,0,1
91601,0,0,1
91602,0,0,1
91604,0,0,1
91607,0,0,1
91608,0,0,1
93001,0,0,1
93003,0,0,1
93004,0,0,1
93030,0,0,1
93036,0,0,1
93510,0,0,1
93550,0,0,1
